z_quiet,z_volatile,danger_threshold,Baseline_Sharpe,AR_Sharpe,MS_AR_Sharpe,MS_AR_Trades,MS_AR_vs_AR,MS_AR_vs_Baseline
1.0,2.0,0.15,2.581453539477772,12.019459682969087,1.743789512371477,68,-10.27567017059761,-0.837664027106295
1.0,2.0,0.3,2.581453539477772,19.23315466231413,1.743789512371477,68,-17.489365149942653,-0.837664027106295
1.0,2.0,0.5,2.581453539477772,7.075644884680622,1.743789512371477,68,-5.331855372309144,-0.837664027106295
1.0,2.5,0.15,2.581453539477772,12.019459682969087,6.437103959489733,51,-5.582355723479354,3.8556504200119606
1.0,2.5,0.3,2.581453539477772,19.23315466231413,6.437103959489733,51,-12.796050702824399,3.8556504200119606
1.0,2.5,0.5,2.581453539477772,7.075644884680622,6.437103959489733,51,-0.6385409251908891,3.8556504200119606
1.0,3.5,0.15,2.581453539477772,12.019459682969087,8.795343592537034,26,-3.2241160904320534,6.213890053059261
1.0,3.5,0.3,2.581453539477772,19.23315466231413,8.795343592537034,26,-10.437811069777098,6.213890053059261
1.0,3.5,0.5,2.581453539477772,7.075644884680622,8.795343592537034,26,1.7196987078564119,6.213890053059261
1.3,2.0,0.15,-0.49295176000054786,16.755314352917758,0.8030565624998127,65,-15.952257790417946,1.2960083225003607
1.3,2.0,0.3,-0.49295176000054786,23.52560632312062,0.8030565624998127,65,-22.722549760620808,1.2960083225003607
1.3,2.0,0.5,-0.49295176000054786,7.93624536066535,0.8030565624998127,65,-7.133188798165537,1.2960083225003607
1.3,2.5,0.15,-0.49295176000054786,16.755314352917758,4.394520307647423,46,-12.360794045270335,4.887472067647971
1.3,2.5,0.3,-0.49295176000054786,23.52560632312062,4.394520307647423,46,-19.131086015473198,4.887472067647971
1.3,2.5,0.5,-0.49295176000054786,7.93624536066535,4.394520307647423,46,-3.5417250530179265,4.887472067647971
1.3,3.5,0.15,-0.49295176000054786,16.755314352917758,6.775701556493896,23,-9.979612796423861,7.268653316494444
1.3,3.5,0.3,-0.49295176000054786,23.52560632312062,6.775701556493896,23,-16.749904766626724,7.268653316494444
1.3,3.5,0.5,-0.49295176000054786,7.93624536066535,6.775701556493896,23,-1.1605438041714535,7.268653316494444
1.6,2.0,0.15,-1.5050613712987697,11.112694085816903,-0.27208911875917186,60,-11.384783204576076,1.2329722525395979
1.6,2.0,0.3,-1.5050613712987697,21.085224588471775,-0.27208911875917186,60,-21.357313707230947,1.2329722525395979
1.6,2.0,0.5,-1.5050613712987697,7.105359710254921,-0.27208911875917186,60,-7.377448829014092,1.2329722525395979
1.6,2.5,0.15,-1.5050613712987697,11.112694085816903,3.3504542020223456,42,-7.762239883794558,4.8555155733211155
1.6,2.5,0.3,-1.5050613712987697,21.085224588471775,3.3504542020223456,42,-17.73477038644943,4.8555155733211155
1.6,2.5,0.5,-1.5050613712987697,7.105359710254921,3.3504542020223456,42,-3.754905508232575,4.8555155733211155
1.6,3.5,0.15,-1.5050613712987697,11.112694085816903,8.909847276350096,21,-2.2028468094668074,10.414908647648865
1.6,3.5,0.3,-1.5050613712987697,21.085224588471775,8.909847276350096,21,-12.175377312121679,10.414908647648865
1.6,3.5,0.5,-1.5050613712987697,7.105359710254921,8.909847276350096,21,1.8044875660951751,10.414908647648865
