date,AAPL,MSFT,NVDA,AMZN,META,GOOGL,TSLA,AVGO,WMT,JPM,XOM,V,JNJ,MA,COST
2024-02-20,179.9225616455078,397.60662841796875,69.413330078125,167.0800018310547,468.4775390625,140.0617218017578,193.75999450683594,119.94104766845703,57.376487731933594,172.18263244628906,96.09333801269531,271.0835876464844,149.59817504882813,446.6190185546875,717.80560302734375
2024-02-21,180.6757049560547,397.00445556640625,67.43443298339844,168.58999633789063,465.2764892578125,141.48098754882813,194.77000427246094,120.02906799316406,56.67176055908203,173.30349731445313,98.057281494140625,272.6698303222656,150.37522888183594,453.8360900878906,715.16473388671875
2024-02-22,182.70721435546875,406.3525695800781,78.49427795410156,174.5800018310547,483.2700500488281,143.00946044921875,197.41000366210938,127.60269927978516,57.22966384887695,175.38238525390625,97.9731216430664,279.5564880371094,152.0526123046875,466.2039794921875,726.4210205078125
2024-02-23,180.8739013671875,405.0594787597656,78.77312469482422,174.99000549316406,481.1823425292969,142.88043212890625,191.97000122070313,126.76856231689453,57.278602600097656,176.26376342773438,97.11270904541016,279.4087219238281,153.369873046875,468.0428771972656,729.91265869140625
2024-02-26,179.5261688232422,402.2955017089844,79.0479736328125,174.72999572753906,478.90582275390625,136.5383758544922,199.39999389648438,128.01629638671875,58.335689544677734,175.6602020263672,97.49615478515625,279.9505920410156,152.3748321533203,469.1205139160156,737.25213623046875
2024-02-27,180.98292541503906,402.23626708984375,78.65717315673828,173.5399932861328,484.1846008300781,137.83853149414063,199.72999572753906,126.75487518310547,58.325904846191406,175.74644470214844,97.29041290283203,278.9850769042969,152.55487060546875,469.3577880859375,736.61907958984375
2024-02-28,179.7838134765625,402.4731750488281,77.61975860595703,173.16000366210938,481.1723937988281,135.35728454589844,202.0399932861328,126.08894348144531,58.35526657104492,176.63739013671875,97.5616226196289,281.40875244140625,153.0950469970703,473.41119384765625,739.83367919921875
2024-02-29,179.11985778808594,408.3170166015625,79.06794738769531,176.75999450683594,487.2464904785156,137.4216766357422,201.8800048828125,127.17143249511719,57.366695404052734,178.24684143066406,97.7486572265625,278.46295166015625,152.93392944335938,469.3676452636719,735.80792236328125
2024-03-01,178.03968811035156,410.1530456542969,82.233184814453125,178.22000122070313,499.3448486328125,136.11158752441406,202.63999938964844,136.82110595703125,57.513511657714844,177.5091552734375,98.98314666748047,278.9752197265625,153.6352081298828,471.2164611816406,741.29766845703125
2024-03-04,173.5208282470703,409.5805358886719,85.18952941894531,177.5800018310547,495.259033203125,132.3500213623047,188.13999938964844,137.12326049804688,58.04206085205078,178.84078979492188,97.5990219116211,276.38409423828125,151.47454833984375,463.16888427734375,750.93170166015625
