datetime,symbol,price_type,price,volume
2026-01-01 22:13:45.919000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:13:46.024000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:13:46.232000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:46.492000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:46.596000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:13:46.751000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:13:46.856000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:46.960000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:47.064000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:47.425000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:13:47.529000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:13:47.635000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:47.740000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:13:47.847000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:47.900000+00:00,EURUSD,BID,1.17481,0.9
2026-01-01 22:13:47.953000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:48.057000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:48.161000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:48.265000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:48.369000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:13:48.473000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:13:48.628000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:13:48.733000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:13:48.888000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:48.992000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:49.097000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:49.202000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:49.410000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:13:49.567000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:49.672000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:49.882000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:50.140000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:50.192000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:50.348000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:13:50.401000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:50.504000+00:00,EURUSD,BID,1.17481,1.8
2026-01-01 22:13:50.607000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:50.762000+00:00,EURUSD,BID,1.17481,1.8
2026-01-01 22:13:50.916000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:51.070000+00:00,EURUSD,BID,1.17482,1.8
2026-01-01 22:13:51.174000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:51.226000+00:00,EURUSD,BID,1.17482,1.8
2026-01-01 22:13:51.278000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:51.691000+00:00,EURUSD,BID,1.17482,1.8
2026-01-01 22:13:51.795000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:51.899000+00:00,EURUSD,BID,1.17481,1.8
2026-01-01 22:13:52.055000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:52.211000+00:00,EURUSD,BID,1.17481,1.8
2026-01-01 22:13:52.264000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:52.369000+00:00,EURUSD,BID,1.17481,1.8
2026-01-01 22:13:52.473000+00:00,EURUSD,BID,1.17482,1.8
2026-01-01 22:13:52.526000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:52.630000+00:00,EURUSD,BID,1.17481,1.8
2026-01-01 22:13:52.734000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:52.890000+00:00,EURUSD,BID,1.17481,1.8
2026-01-01 22:13:52.943000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:53.047000+00:00,EURUSD,BID,1.17482,1.8
2026-01-01 22:13:53.151000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:53.306000+00:00,EURUSD,BID,1.17482,1.8
2026-01-01 22:13:53.410000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:53.462000+00:00,EURUSD,BID,1.17482,1.8
2026-01-01 22:13:53.515000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:53.619000+00:00,EURUSD,BID,1.17482,1.8
2026-01-01 22:13:53.723000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:53.827000+00:00,EURUSD,BID,1.17482,1.8
2026-01-01 22:13:53.880000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:54.243000+00:00,EURUSD,BID,1.17481,1.8
2026-01-01 22:13:54.295000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:54.450000+00:00,EURUSD,BID,1.17482,1.8
2026-01-01 22:13:54.554000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:54.709000+00:00,EURUSD,BID,1.17482,1.8
2026-01-01 22:13:54.762000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:54.814000+00:00,EURUSD,BID,1.17482,1.8
2026-01-01 22:13:54.867000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:55.176000+00:00,EURUSD,BID,1.17481,1.8
2026-01-01 22:13:55.282000+00:00,EURUSD,BID,1.17482,1.8
2026-01-01 22:13:55.335000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:55.440000+00:00,EURUSD,BID,1.17481,1.8
2026-01-01 22:13:55.544000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:55.750000+00:00,EURUSD,BID,1.17482,1.8
2026-01-01 22:13:55.803000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:55.957000+00:00,EURUSD,BID,1.17481,1.8
2026-01-01 22:13:56.010000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:56.114000+00:00,EURUSD,BID,1.17482,1.8
2026-01-01 22:13:56.219000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:56.322000+00:00,EURUSD,BID,1.17482,1.8
2026-01-01 22:13:56.426000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:56.530000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:56.583000+00:00,EURUSD,BID,1.17482,1.8
2026-01-01 22:13:56.688000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:13:56.793000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:57.052000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:57.156000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:57.312000+00:00,EURUSD,BID,1.17482,1.8
2026-01-01 22:13:57.416000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:57.623000+00:00,EURUSD,BID,1.17481,1.8
2026-01-01 22:13:57.676000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:57.884000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:58.039000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:13:58.144000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:58.196000+00:00,EURUSD,BID,1.17481,3.6
2026-01-01 22:13:58.249000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:58.353000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:58.456000+00:00,EURUSD,BID,1.17482,3.6
2026-01-01 22:13:58.560000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:58.664000+00:00,EURUSD,BID,1.17481,1.8
2026-01-01 22:13:58.716000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:59.078000+00:00,EURUSD,BID,1.17482,1.8
2026-01-01 22:13:59.182000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:59.337000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:13:59.440000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:59.545000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:13:59.650000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:59.753000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:13:59.858000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:00.065000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:14:00.169000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:14:00.325000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:00.428000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:14:00.583000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:14:00.687000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:14:00.996000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:14:01.101000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:14:01.360000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:14:01.463000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:01.588000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:14:01.694000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:02.107000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:02.160000+00:00,EURUSD,BID,1.17482,1.8
2026-01-01 22:14:02.213000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:02.316000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:02.421000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:14:02.628000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:02.886000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:14:02.990000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:14:03.094000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:03.198000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:03.508000+00:00,EURUSD,BID,1.17483,0.9
