datetime,symbol,price_type,price
2026-01-01 18:53:14.597,EURUSD,BID,1.17416
2026-01-01 18:53:24.610,EURUSD,BID,1.17412
2026-01-01 18:55:24.758,EURUSD,BID,1.17287
2026-01-01 18:55:34.768,EURUSD,BID,1.17408
2026-01-01 18:55:44.791,EURUSD,BID,1.17412
2026-01-01 18:57:04.909,EURUSD,BID,1.17416
2026-01-01 18:57:14.917,EURUSD,BID,1.17412
2026-01-01 18:58:15.007,EURUSD,BID,1.17416
2026-01-01 18:58:25.018,EURUSD,BID,1.17408
2026-01-01 18:58:35.038,EURUSD,BID,1.17412
2026-01-01 19:00:14.169,EURUSD,BID,1.17416
2026-01-01 19:00:24.187,EURUSD,BID,1.17412
2026-01-01 19:01:24.270,EURUSD,BID,1.17416
2026-01-01 19:01:34.281,EURUSD,BID,1.17412
2026-01-01 19:01:54.317,EURUSD,BID,1.17408
2026-01-01 19:02:04.329,EURUSD,BID,1.17412
2026-01-01 19:02:34.374,EURUSD,BID,1.17416
2026-01-01 19:02:44.385,EURUSD,BID,1.17412
2026-01-01 19:05:04.637,EURUSD,BID,1.17408
2026-01-01 19:05:14.648,EURUSD,BID,1.17412
2026-01-01 19:05:54.712,EURUSD,BID,1.17408
2026-01-01 19:06:04.729,EURUSD,BID,1.17412
2026-01-01 19:06:34.780,EURUSD,BID,1.17408
2026-01-01 19:06:44.793,EURUSD,BID,1.17412
2026-01-01 19:06:54.804,EURUSD,BID,1.17416
2026-01-01 19:07:04.816,EURUSD,BID,1.17412
2026-01-01 19:07:54.940,EURUSD,BID,1.17408
2026-01-01 19:08:04.958,EURUSD,BID,1.17412
2026-01-01 19:08:44.017,EURUSD,BID,1.1741
2026-01-01 19:09:25.081,EURUSD,BID,1.17406
2026-01-01 19:09:45.100,EURUSD,BID,1.17411
2026-01-01 19:10:14.141,EURUSD,BID,1.17406
2026-01-01 19:10:24.168,EURUSD,BID,1.17411
2026-01-01 19:10:25.166,EURUSD,BID,1.17418
2026-01-01 19:10:26.181,EURUSD,BID,1.17436
2026-01-01 19:10:27.195,EURUSD,BID,1.17411
2026-01-01 19:10:44.228,EURUSD,BID,1.17413
2026-01-01 19:11:36.301,EURUSD,BID,1.17417
2026-01-01 19:11:46.317,EURUSD,BID,1.17413
2026-01-01 19:13:06.444,EURUSD,BID,1.17409
2026-01-01 19:13:16.457,EURUSD,BID,1.17413
2026-01-01 19:13:36.492,EURUSD,BID,1.17417
2026-01-01 19:13:46.512,EURUSD,BID,1.17413
2026-01-01 19:14:08.536,EURUSD,BID,1.17411
2026-01-01 19:15:06.618,EURUSD,BID,1.17415
2026-01-01 19:15:16.634,EURUSD,BID,1.17411
2026-01-01 19:15:26.648,EURUSD,BID,1.17406
2026-01-01 19:15:36.667,EURUSD,BID,1.17411
2026-01-01 19:16:26.746,EURUSD,BID,1.17415
2026-01-01 19:16:36.762,EURUSD,BID,1.17411
2026-01-01 19:16:41.765,EURUSD,BID,1.17411
2026-01-01 19:16:43.767,EURUSD,BID,1.17411
2026-01-01 19:16:46.772,EURUSD,BID,1.17415
2026-01-01 19:16:48.776,EURUSD,BID,1.17415
2026-01-01 19:16:56.780,EURUSD,BID,1.17411
2026-01-01 19:17:26.826,EURUSD,BID,1.17415
2026-01-01 19:17:36.843,EURUSD,BID,1.17411
2026-01-01 19:17:39.851,EURUSD,BID,1.17413
