Month,Baseline_Sharpe,Baseline_PnLbps,Baseline_Trades,AR_Sharpe,AR_PnLbps,AR_Trades,MS_AR_Sharpe,MS_AR_PnLbps,MS_AR_Trades
202408,-43.869232391403386,-2287.6521726001247,285,-87.81631430926242,-2117.4837017952004,227,-37.436669934775864,-1582.9577511236664,183
202409,-52.096470514041776,-2202.3531639306702,319,-103.29810018476036,-2074.388972904026,243,-44.06765808521978,-1531.9427641628915,185
202508,-43.354248202601546,-664.8741708139455,95,-54.48085984238335,-255.4681506551471,29,-31.448038204193516,-349.3623777168177,44
